budget,company,country,genre,gross,rating,runtime,score,votes,year
0,Warner Bros.,USA,Comedy,4239831,PG,90,4.4,27482,1988
6500000,Columbia Pictures Industries,USA,Comedy,14545844,R,121,5.8,5042,1988
0,Columbia Pictures Industries,USA,Comedy,13664060,PG,98,5.8,7667,1988
0,Warner Bros.,USA,Drama,32632093,PG,121,6.8,13051,1988
0,TriStar Pictures,USA,Drama,18875011,R,97,5.9,11102,1988
0,Metro-Goldwyn-Mayer (MGM),USA,Drama,15855828,R,100,6,2628,1988
0,Touchstone Pictures,USA,Action,29300090,R,110,6.8,9882,1988
0,TriStar Pictures,USA,Comedy,17514553,PG-13,90,5.9,3277,1988
0,Warner Bros.,Australia,Comedy,11536599,PG,91,5.1,7621,1988
0,TriStar Pictures,USA,Drama,3966256,R,105,6.4,6651,1988
0,Warner Bros.,USA,Comedy,10815378,R,89,6.1,4139,1988
0,New Line Cinema,USA,Comedy,4865997,R,120,7.7,5834,1988
15000000,Columbia Pictures Industries,USA,Drama,1733070,PG,98,6,4132,1988
15000000,Columbia Pictures Industries,USA,Comedy,21032267,R,128,5.8,6938,1988
0,Metro-Goldwyn-Mayer (MGM),USA,Drama,1938049,R,99,5.8,1633,1988
20000000,Universal Pictures,USA,Comedy,11444204,PG-13,103,5.9,4778,1988
6000000,Touchstone Pictures,USA,Comedy,28202109,PG,95,5.6,8513,1988
4000000,Warner Bros.,USA,Comedy,16262415,PG,97,6.9,2935,1988
6000000,TriStar Pictures,Canada,Drama,1869148,R,101,5.5,1258,1988
0,Warner Bros.,USA,Comedy,6436211,PG,100,4.4,2666,1988
14000000,Touchstone Pictures,USA,Drama,4764606,R,100,5.9,1361,1988
0,Columbia Pictures Industries,USA,Drama,187349,PG,99,6.6,1594,1988
0,Columbia Pictures Industries,USA,Comedy,111987,R,94,4.8,689,1988
0,Warner Bros.,USA,Comedy,14681192,PG,113,4.3,5270,1988
0,Metro-Goldwyn-Mayer (MGM),USA,Action,426965,R,103,5.2,867,1988
18000000,TriStar Pictures,USA,Comedy,9129999,PG,105,5.9,2789,1988
0,Walt Disney Pictures,USA,Action,7242035,R,102,6.2,2154,1988
0,Warner Bros.,USA,Comedy,3838793,PG-13,90,5.3,2530,1988
0,Columbia Pictures Industries,USA,Comedy,3527886,PG,100,7,2644,1988
12000000,Metro-Goldwyn-Mayer (MGM),USA,Comedy,3965604,PG-13,100,5.7,789,1988
16400000,Touchstone Pictures,USA,Comedy,95860116,PG,128,8,301100,1989
35000000,Warner Bros.,USA,Action,251188924,PG-13,126,7.6,288860,1989
40000000,Walt Disney Pictures,USA,Animation,111543479,G,83,7.6,188455,1989
55000000,Warner Bros.,USA,Action,63408614,R,104,6.3,81242,1989
27000000,Warner Bros.,USA,Comedy,71320000,PG-13,97,7.6,115848,1989
40000000,Universal Pictures,USA,Adventure,118500000,PG,108,7.8,377402,1989
70000000,Walt Disney Pictures,USA,Adventure,54461047,PG-13,145,7.6,140371,1989
15000000,Universal Pictures,USA,Comedy,66758538,PG,100,7,68231,1989
18000000,TriStar Pictures,USA,Biography,26830000,R,122,7.9,107207,1989
16000000,Castle Rock Entertainment,USA,Comedy,92823600,R,96,7.6,161347,1989
0,TriStar Pictures,USA,Comedy,83759091,PG,117,7.2,37333,1989
37000000,Columbia Pictures Industries,USA,Action,112494738,PG,108,6.5,152597,1989
7500000,TriStar Pictures,USA,Comedy,140088813,PG-13,93,5.8,67535,1989
0,Columbia Pictures Industries,USA,Action,38956288,PG,112,5,38560,1989
28000000,Warner Bros.,USA,Action,147253986,R,114,7.2,137637,1989
31000000,Universal Pictures,USA,Fantasy,43858790,PG,122,6.4,23834,1989
22500000,Columbia Pictures Industries,USA,Crime,18671317,R,113,7.1,35439,1989
18000000,TriStar Pictures,USA,Comedy,46908987,R,103,6.8,40102,1989
6000000,New Line Cinema,USA,Fantasy,22168359,R,89,5.1,32517,1989
0,Touchstone Pictures,USA,Comedy,71079915,PG,97,6.1,52638,1989
8000000,Universal Pictures,USA,Comedy,35150960,PG,95,6.1,16426,1989
0,Walt Disney Pictures,USA,Comedy,86888546,R,116,6.8,40673,1989
19000000,Universal Pictures,USA,Crime,58571513,R,113,6.8,32138,1989
15000000,Touchstone Pictures,USA,Action,40590000,PG-13,96,6.1,9199,1989
10000000,TriStar Pictures,USA,Action,2692037,R,86,6.3,11576,1989
15000000,Touchstone Pictures,USA,Comedy,10763469,PG,124,6.4,14652,1989
15000000,Universal Pictures,USA,Comedy,28890240,PG-13,113,6.5,10768,1989
0,TriStar Pictures,USA,Crime,12195695,R,110,5.7,10221,1989
16000000,TriStar Pictures,USA,Comedy,16278590,PG,108,6.4,9105,1989
0,TriStar Pictures,USA,Comedy,10982364,PG-13,94,5.8,13375,1989
8000000,New Line Cinema,USA,Action,16093651,PG-13,93,4.3,4966,1989
12000000,Warner Bros.,USA,Comedy,11567217,PG,84,4.2,23683,1989
0,Metro-Goldwyn-Mayer (MGM),USA,Action,4611062,R,97,5.6,5405,1989
0,Touchstone Pictures,USA,Biography,19131246,R,120,5.9,3129,1989
18000000,Warner Bros.,USA,Drama,3531971,R,120,5.9,2385,1989
0,Warner Bros.,USA,Comedy,18699037,PG,94,5.7,5902,1989
0,Columbia Pictures Industries,USA,Drama,8742750,R,105,6.7,3633,1989
0,Castle Rock Entertainment,USA,Drama,2023282,PG-13,110,6.3,1029,1989
11500000,TriStar Pictures,USA,Drama,2260616,PG-13,98,6.8,597,1989
34000000,Columbia Pictures Industries,USA,Adventure,3574256,R,100,5.8,1556,1989
14000000,Columbia Pictures Industries,USA,Drama,5932613,PG-13,95,6.1,1235,1989
0,Walt Disney Pictures,USA,Comedy,1642239,PG-13,86,5.8,1807,1989
17000000,Columbia Pictures Industries,USA,Crime,3560932,R,99,5.1,1238,1989
